Time (ms),Lower,LowerPwr,Upper,UpperPwr,Thought,ThoughtPwr,Blink,LWink,RWink,LLook,RLook,GyroX,GyroY
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301402,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301417,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301433,,,,,,,,,,,,0,0
238301448,,,,,,,,,,,,0,0
